Author,Comment,CaseFolding,tokenized_comment,Remove_TandaBaca,Remove_SpasiTab,Normalisasi,Remove_StopWords_Final,Stemming,Cleaned_Text,Sentiment
@el-bicho-q4u,Kenawhy😂,kenawhy,['kenawhy'],['kenawhy'],['kenawhy'],['kenawhy'],['kenawhy'],['kenawhy'],kenawhy,Netral
@wryyy4555,Ini serem sih...jujur paling gasuka sama hantu atau jin yg kayak gini....kayak trlalu memaksakan diri mereka ke manusia gitu...maunya manusia juga harus suka sama mereka jirr iyuh,ini serem sihjujur paling gasuka sama hantu atau jin yg kayak ginikayak trlalu memaksakan diri mereka ke manusia gitumaunya manusia juga harus suka sama mereka jirr iyuh,"['ini', 'serem', 'sihjujur', 'paling', 'gasuka', 'sama', 'hantu', 'atau', 'jin', 'yg', 'kayak', 'ginikayak', 'trlalu', 'memaksakan', 'diri', 'mereka', 'ke', 'manusia', 'gitumaunya', 'manusia', 'juga', 'harus', 'suka', 'sama', 'mereka', 'jirr', 'iyuh']","['ini', 'serem', 'sihjujur', 'paling', 'gasuka', 'sama', 'hantu', 'atau', 'jin', 'yg', 'kayak', 'ginikayak', 'trlalu', 'memaksakan', 'diri', 'mereka', 'ke', 'manusia', 'gitumaunya', 'manusia', 'juga', 'harus', 'suka', 'sama', 'mereka', 'jirr', 'iyuh']","['ini', 'serem', 'sihjujur', 'paling', 'gasuka', 'sama', 'hantu', 'atau', 'jin', 'yg', 'kayak', 'ginikayak', 'trlalu', 'memaksakan', 'diri', 'mereka', 'ke', 'manusia', 'gitumaunya', 'manusia', 'juga', 'harus', 'suka', 'sama', 'mereka', 'jirr', 'iyuh']","['ini', 'serem', 'sihjujur', 'paling', 'gasuka', 'sama', 'hantu', 'atau', 'jin', 'yang', 'seperti', 'ginikayak', 'trlalu', 'memaksakan', 'diri', 'mereka', 'ke', 'manusia', 'gitumaunya', 'manusia', 'juga', 'harus', 'suka', 'sama', 'mereka', 'jirr', 'iyuh']","['serem', 'sihjujur', 'gasuka', 'hantu', 'jin', 'ginikayak', 'trlalu', 'memaksakan', 'manusia', 'gitumaunya', 'manusia', 'suka', 'jirr', 'iyuh']","['rem', 'sihjujur', 'gasuka', 'hantu', 'jin', 'ginikayak', 'trlalu', 'paksa', 'manusia', 'gitumaunya', 'manusia', 'suka', 'jirr', 'iyuh']",rem sihjujur gasuka hantu jin ginikayak trlalu paksa manusia gitumaunya manusia suka jirr iyuh,Netral
@NuelWogha,Kak semangat terus 😊,kak semangat terus ,"['kak', 'semangat', 'terus']","['kak', 'semangat', 'terus']","['kak', 'semangat', 'terus']","['kak', 'semangat', 'terus']",['semangat'],['semangat'],semangat,Netral
@VertaArta,"Dear kak Nadia, aku kembali lagi kesini setelah 2 tahun yang lalu aku nonton hehe..",dear kak nadia aku kembali lagi kesini setelah  tahun yang lalu aku nonton hehe,"['dear', 'kak', 'nadia', 'aku', 'kembali', 'lagi', 'kesini', 'setelah', 'tahun', 'yang', 'lalu', 'aku', 'nonton', 'hehe']","['dear', 'kak', 'nadia', 'aku', 'kembali', 'lagi', 'kesini', 'setelah', 'tahun', 'yang', 'lalu', 'aku', 'nonton', 'hehe']","['dear', 'kak', 'nadia', 'aku', 'kembali', 'lagi', 'kesini', 'setelah', 'tahun', 'yang', 'lalu', 'aku', 'nonton', 'hehe']","['dear', 'kak', 'nadia', 'aku', 'kembali', 'lagi', 'kesini', 'setelah', 'tahun', 'yang', 'lalu', 'aku', 'nonton']","['dear', 'nadia', 'kesini', 'nonton']","['dear', 'nadia', 'kesini', 'nonton']",dear nadia kesini nonton,Positif
@megastiawati214,Bikin manhwa keren banget sih ini,bikin manhwa keren banget sih ini,"['bikin', 'manhwa', 'keren', 'banget', 'sih', 'ini']","['bikin', 'manhwa', 'keren', 'banget', 'sih', 'ini']","['bikin', 'manhwa', 'keren', 'banget', 'sih', 'ini']","['bikin', 'manhwa', 'keren', 'banget', 'ini']","['bikin', 'manhwa', 'keren', 'banget']","['bikin', 'manhwa', 'keren', 'banget']",bikin manhwa keren banget,Netral
@megastiawati214,Kaya lg baca novel,kaya lg baca novel,"['kaya', 'lg', 'baca', 'novel']","['kaya', 'lg', 'baca', 'novel']","['kaya', 'lg', 'baca', 'novel']","['seperti', 'lagi', 'baca', 'novel']","['baca', 'novel']","['baca', 'novel']",baca novel,Positif
@CiipaaNihh,Brati cwe itu pnya 2suami bedanya yg stunya ada didalam mimpi 😢,brati cwe itu pnya suami bedanya yg stunya ada didalam mimpi ,"['brati', 'cwe', 'itu', 'pnya', 'suami', 'bedanya', 'yg', 'stunya', 'ada', 'didalam', 'mimpi']","['brati', 'cwe', 'itu', 'pnya', 'suami', 'bedanya', 'yg', 'stunya', 'ada', 'didalam', 'mimpi']","['brati', 'cwe', 'itu', 'pnya', 'suami', 'bedanya', 'yg', 'stunya', 'ada', 'didalam', 'mimpi']","['brati', 'cwe', 'itu', 'pnya', 'suami', 'bedanya', 'yang', 'stunya', 'ada', 'didalam', 'mimpi']","['brati', 'cwe', 'pnya', 'suami', 'bedanya', 'stunya', 'didalam', 'mimpi']","['brati', 'cwe', 'pnya', 'suami', 'beda', 'stunya', 'dalam', 'mimpi']",brati cwe pnya suami beda stunya dalam mimpi,Netral
@DellaApriyani-g5x,mau tau ke lanjutnya,mau tau ke lanjutnya,"['mau', 'tau', 'ke', 'lanjutnya']","['mau', 'tau', 'ke', 'lanjutnya']","['mau', 'tau', 'ke', 'lanjutnya']","['mau', 'tau', 'ke', 'lanjutnya']",['tau'],['tau'],tau,Netral
@gajah.terbang.di.angkasa,Pebinor ghaib...,pebinor ghaib,"['pebinor', 'ghaib']","['pebinor', 'ghaib']","['pebinor', 'ghaib']","['pebinor', 'ghaib']","['pebinor', 'ghaib']","['bor', 'ghaib']",bor ghaib,Netral
@IsnaMisbah-e6z,Seperti kehidupan aku😢😢😢,seperti kehidupan aku,"['seperti', 'kehidupan', 'aku']","['seperti', 'kehidupan', 'aku']","['seperti', 'kehidupan', 'aku']","['seperti', 'kehidupan', 'aku']",['kehidupan'],['hidup'],hidup,Netral
@ree-fi4lr,kenapa mirip yang lucanne itu woii 😭,kenapa mirip yang lucanne itu woii ,"['kenapa', 'mirip', 'yang', 'lucanne', 'itu', 'woii']","['kenapa', 'mirip', 'yang', 'lucanne', 'itu', 'woii']","['kenapa', 'mirip', 'yang', 'lucanne', 'itu', 'woii']","['kenapa', 'mirip', 'yang', 'lucanne', 'itu', 'woii']","['lucanne', 'woii']","['lucanne', 'woii']",lucanne woii,Netral
@SeliNurlatipah0002,"Sedikit mirip dengan kisahku, sejak SMP sampai awal perkuliahan aku selalu dimimpiin ketemu laki-laki tampan dengan penampilan yang agamis seperti santri, di mimpi itu aku selalu dipandangi sama si laki-laki tersebut dan mimpi itu selalu ada ketika aku datang bulan. Mulanya aku gak berani cerita, cuma pas aku berani pacaran di dunia nyata mimpi yang semula laki-laki itu hanya memandangi aku waktu itu berubah menjadi dia marah dan berkata ""kamu milikku tidak ada yang bisa memiliki kamu selain aku, dewasa nanti kamu harus menikah denganku"" Penampilan laki-laki itu tidak berubah dan tidak menua. Namun ketika mimpi terkahir aku berani cerita sama bapak karena sudah merasa takut, alhamdulillah bapak aku percaya sama aku dan langsung dibawa ke ustad untuk di ruqyah dan aku disuruh jangan meninggalkan sholat, mamah bapak aku juga selalu do'ain aku Alhamdulillah sejak saat itu gak pernah dimimpiin lagi. Tapi sampai sekarang kalo bertemu beberapa orang (terutama laki-laki yang mau dekati aku) dia selalu melihat sosok laki-laki yang marah di belakang aku mengikuti aku kemanapun aku pergi meksipun udah gak pernah dimimpiin lagi. Tapi efeknya sekarang aku malah sedikit sensitif dengan hal seperti itu, awalnya sempat bikin stress tapi mencoba untuk berhusnudzon dan berusaha untuk tidak meninggalkan ibadah sholat. FYI, bapaku langsung percaya waktu itu karena menurut pengakuan bapak sejak kecil aku selalu bercerita melihat hal yang gak bapak mamah aku lihat. Mungkin bagi yang belum mengalami hal gaib cerita seperti yang cerita ini dan cerita aku merupakan khayalan, tapi kita hidup berdampingan dengan makhluk yang bahkan tidak bisa dilihat secara kasat mata, yang penting tetap percaya dengan pertolongan Allah SWT. Apapun yang terjadi. Semoga aku dan kita semua terhindar dari musibah seperti ini lagi😊",sedikit mirip dengan kisahku sejak smp sampai awal perkuliahan aku selalu dimimpiin ketemu lakilaki tampan dengan penampilan yang agamis seperti santri di mimpi itu aku selalu dipandangi sama si lakilaki tersebut dan mimpi itu selalu ada ketika aku datang bulan mulanya aku gak berani cerita cuma pas aku berani pacaran di dunia nyata mimpi yang semula lakilaki itu hanya memandangi aku waktu itu berubah menjadi dia marah dan berkata kamu milikku tidak ada yang bisa memiliki kamu selain aku dewasa nanti kamu harus menikah denganku penampilan lakilaki itu tidak berubah dan tidak menua namun ketika mimpi terkahir aku berani cerita sama bapak karena sudah merasa takut alhamdulillah bapak aku percaya sama aku dan langsung dibawa ke ustad untuk di ruqyah dan aku disuruh jangan meninggalkan sholat mamah bapak aku juga selalu doain aku alhamdulillah sejak saat itu gak pernah dimimpiin lagi tapi sampai sekarang kalo bertemu beberapa orang terutama lakilaki yang mau dekati aku dia selalu melihat sosok lakilaki yang marah di belakang aku mengikuti aku kemanapun aku pergi meksipun udah gak pernah dimimpiin lagi tapi efeknya sekarang aku malah sedikit sensitif dengan hal seperti itu awalnya sempat bikin stress tapi mencoba untuk berhusnudzon dan berusaha untuk tidak meninggalkan ibadah sholat fyi bapaku langsung percaya waktu itu karena menurut pengakuan bapak sejak kecil aku selalu bercerita melihat hal yang gak bapak mamah aku lihat mungkin bagi yang belum mengalami hal gaib cerita seperti yang cerita ini dan cerita aku merupakan khayalan tapi kita hidup berdampingan dengan makhluk yang bahkan tidak bisa dilihat secara kasat mata yang penting tetap percaya dengan pertolongan allah swt apapun yang terjadi semoga aku dan kita semua terhindar dari musibah seperti ini lagi,"['sedikit', 'mirip', 'dengan', 'kisahku', 'sejak', 'smp', 'sampai', 'awal', 'perkuliahan', 'aku', 'selalu', 'dimimpiin', 'ketemu', 'lakilaki', 'tampan', 'dengan', 'penampilan', 'yang', 'agamis', 'seperti', 'santri', 'di', 'mimpi', 'itu', 'aku', 'selalu', 'dipandangi', 'sama', 'si', 'lakilaki', 'tersebut', 'dan', 'mimpi', 'itu', 'selalu', 'ada', 'ketika', 'aku', 'datang', 'bulan', 'mulanya', 'aku', 'gak', 'berani', 'cerita', 'cuma', 'pas', 'aku', 'berani', 'pacaran', 'di', 'dunia', 'nyata', 'mimpi', 'yang', 'semula', 'lakilaki', 'itu', 'hanya', 'memandangi', 'aku', 'waktu', 'itu', 'berubah', 'menjadi', 'dia', 'marah', 'dan', 'berkata', 'kamu', 'milikku', 'tidak', 'ada', 'yang', 'bisa', 'memiliki', 'kamu', 'selain', 'aku', 'dewasa', 'nanti', 'kamu', 'harus', 'menikah', 'denganku', 'penampilan', 'lakilaki', 'itu', 'tidak', 'berubah', 'dan', 'tidak', 'menua', 'namun', 'ketika', 'mimpi', 'terkahir', 'aku', 'berani', 'cerita', 'sama', 'bapak', 'karena', 'sudah', 'merasa', 'takut', 'alhamdulillah', 'bapak', 'aku', 'percaya', 'sama', 'aku', 'dan', 'langsung', 'dibawa', 'ke', 'ustad', 'untuk', 'di', 'ruqyah', 'dan', 'aku', 'disuruh', 'jangan', 'meninggalkan', 'sholat', 'mamah', 'bapak', 'aku', 'juga', 'selalu', 'doain', 'aku', 'alhamdulillah', 'sejak', 'saat', 'itu', 'gak', 'pernah', 'dimimpiin', 'lagi', 'tapi', 'sampai', 'sekarang', 'kalo', 'bertemu', 'beberapa', 'orang', 'terutama', 'lakilaki', 'yang', 'mau', 'dekati', 'aku', 'dia', 'selalu', 'melihat', 'sosok', 'lakilaki', 'yang', 'marah', 'di', 'belakang', 'aku', 'mengikuti', 'aku', 'kemanapun', 'aku', 'pergi', 'meksipun', 'udah', 'gak', 'pernah', 'dimimpiin', 'lagi', 'tapi', 'efeknya', 'sekarang', 'aku', 'malah', 'sedikit', 'sensitif', 'dengan', 'hal', 'seperti', 'itu', 'awalnya', 'sempat', 'bikin', 'stress', 'tapi', 'mencoba', 'untuk', 'berhusnudzon', 'dan', 'berusaha', 'untuk', 'tidak', 'meninggalkan', 'ibadah', 'sholat', 'fyi', 'bapaku', 'langsung', 'percaya', 'waktu', 'itu', 'karena', 'menurut', 'pengakuan', 'bapak', 'sejak', 'kecil', 'aku', 'selalu', 'bercerita', 'melihat', 'hal', 'yang', 'gak', 'bapak', 'mamah', 'aku', 'lihat', 'mungkin', 'bagi', 'yang', 'belum', 'mengalami', 'hal', 'gaib', 'cerita', 'seperti', 'yang', 'cerita', 'ini', 'dan', 'cerita', 'aku', 'merupakan', 'khayalan', 'tapi', 'kita', 'hidup', 'berdampingan', 'dengan', 'makhluk', 'yang', 'bahkan', 'tidak', 'bisa', 'dilihat', 'secara', 'kasat', 'mata', 'yang', 'penting', 'tetap', 'percaya', 'dengan', 'pertolongan', 'allah', 'swt', 'apapun', 'yang', 'terjadi', 'semoga', 'aku', 'dan', 'kita', 'semua', 'terhindar', 'dari', 'musibah', 'seperti', 'ini', 'lagi']","['sedikit', 'mirip', 'dengan', 'kisahku', 'sejak', 'smp', 'sampai', 'awal', 'perkuliahan', 'aku', 'selalu', 'dimimpiin', 'ketemu', 'lakilaki', 'tampan', 'dengan', 'penampilan', 'yang', 'agamis', 'seperti', 'santri', 'di', 'mimpi', 'itu', 'aku', 'selalu', 'dipandangi', 'sama', 'si', 'lakilaki', 'tersebut', 'dan', 'mimpi', 'itu', 'selalu', 'ada', 'ketika', 'aku', 'datang', 'bulan', 'mulanya', 'aku', 'gak', 'berani', 'cerita', 'cuma', 'pas', 'aku', 'berani', 'pacaran', 'di', 'dunia', 'nyata', 'mimpi', 'yang', 'semula', 'lakilaki', 'itu', 'hanya', 'memandangi', 'aku', 'waktu', 'itu', 'berubah', 'menjadi', 'dia', 'marah', 'dan', 'berkata', 'kamu', 'milikku', 'tidak', 'ada', 'yang', 'bisa', 'memiliki', 'kamu', 'selain', 'aku', 'dewasa', 'nanti', 'kamu', 'harus', 'menikah', 'denganku', 'penampilan', 'lakilaki', 'itu', 'tidak', 'berubah', 'dan', 'tidak', 'menua', 'namun', 'ketika', 'mimpi', 'terkahir', 'aku', 'berani', 'cerita', 'sama', 'bapak', 'karena', 'sudah', 'merasa', 'takut', 'alhamdulillah', 'bapak', 'aku', 'percaya', 'sama', 'aku', 'dan', 'langsung', 'dibawa', 'ke', 'ustad', 'untuk', 'di', 'ruqyah', 'dan', 'aku', 'disuruh', 'jangan', 'meninggalkan', 'sholat', 'mamah', 'bapak', 'aku', 'juga', 'selalu', 'doain', 'aku', 'alhamdulillah', 'sejak', 'saat', 'itu', 'gak', 'pernah', 'dimimpiin', 'lagi', 'tapi', 'sampai', 'sekarang', 'kalo', 'bertemu', 'beberapa', 'orang', 'terutama', 'lakilaki', 'yang', 'mau', 'dekati', 'aku', 'dia', 'selalu', 'melihat', 'sosok', 'lakilaki', 'yang', 'marah', 'di', 'belakang', 'aku', 'mengikuti', 'aku', 'kemanapun', 'aku', 'pergi', 'meksipun', 'udah', 'gak', 'pernah', 'dimimpiin', 'lagi', 'tapi', 'efeknya', 'sekarang', 'aku', 'malah', 'sedikit', 'sensitif', 'dengan', 'hal', 'seperti', 'itu', 'awalnya', 'sempat', 'bikin', 'stress', 'tapi', 'mencoba', 'untuk', 'berhusnudzon', 'dan', 'berusaha', 'untuk', 'tidak', 'meninggalkan', 'ibadah', 'sholat', 'fyi', 'bapaku', 'langsung', 'percaya', 'waktu', 'itu', 'karena', 'menurut', 'pengakuan', 'bapak', 'sejak', 'kecil', 'aku', 'selalu', 'bercerita', 'melihat', 'hal', 'yang', 'gak', 'bapak', 'mamah', 'aku', 'lihat', 'mungkin', 'bagi', 'yang', 'belum', 'mengalami', 'hal', 'gaib', 'cerita', 'seperti', 'yang', 'cerita', 'ini', 'dan', 'cerita', 'aku', 'merupakan', 'khayalan', 'tapi', 'kita', 'hidup', 'berdampingan', 'dengan', 'makhluk', 'yang', 'bahkan', 'tidak', 'bisa', 'dilihat', 'secara', 'kasat', 'mata', 'yang', 'penting', 'tetap', 'percaya', 'dengan', 'pertolongan', 'allah', 'swt', 'apapun', 'yang', 'terjadi', 'semoga', 'aku', 'dan', 'kita', 'semua', 'terhindar', 'dari', 'musibah', 'seperti', 'ini', 'lagi']","['sedikit', 'mirip', 'dengan', 'kisahku', 'sejak', 'smp', 'sampai', 'awal', 'perkuliahan', 'aku', 'selalu', 'dimimpiin', 'ketemu', 'lakilaki', 'tampan', 'dengan', 'penampilan', 'yang', 'agamis', 'seperti', 'santri', 'di', 'mimpi', 'itu', 'aku', 'selalu', 'dipandangi', 'sama', 'si', 'lakilaki', 'tersebut', 'dan', 'mimpi', 'itu', 'selalu', 'ada', 'ketika', 'aku', 'datang', 'bulan', 'mulanya', 'aku', 'gak', 'berani', 'cerita', 'cuma', 'pas', 'aku', 'berani', 'pacaran', 'di', 'dunia', 'nyata', 'mimpi', 'yang', 'semula', 'lakilaki', 'itu', 'hanya', 'memandangi', 'aku', 'waktu', 'itu', 'berubah', 'menjadi', 'dia', 'marah', 'dan', 'berkata', 'kamu', 'milikku', 'tidak', 'ada', 'yang', 'bisa', 'memiliki', 'kamu', 'selain', 'aku', 'dewasa', 'nanti', 'kamu', 'harus', 'menikah', 'denganku', 'penampilan', 'lakilaki', 'itu', 'tidak', 'berubah', 'dan', 'tidak', 'menua', 'namun', 'ketika', 'mimpi', 'terkahir', 'aku', 'berani', 'cerita', 'sama', 'bapak', 'karena', 'sudah', 'merasa', 'takut', 'alhamdulillah', 'bapak', 'aku', 'percaya', 'sama', 'aku', 'dan', 'langsung', 'dibawa', 'ke', 'ustad', 'untuk', 'di', 'ruqyah', 'dan', 'aku', 'disuruh', 'jangan', 'meninggalkan', 'sholat', 'mamah', 'bapak', 'aku', 'juga', 'selalu', 'doain', 'aku', 'alhamdulillah', 'sejak', 'saat', 'itu', 'gak', 'pernah', 'dimimpiin', 'lagi', 'tapi', 'sampai', 'sekarang', 'kalo', 'bertemu', 'beberapa', 'orang', 'terutama', 'lakilaki', 'yang', 'mau', 'dekati', 'aku', 'dia', 'selalu', 'melihat', 'sosok', 'lakilaki', 'yang', 'marah', 'di', 'belakang', 'aku', 'mengikuti', 'aku', 'kemanapun', 'aku', 'pergi', 'meksipun', 'udah', 'gak', 'pernah', 'dimimpiin', 'lagi', 'tapi', 'efeknya', 'sekarang', 'aku', 'malah', 'sedikit', 'sensitif', 'dengan', 'hal', 'seperti', 'itu', 'awalnya', 'sempat', 'bikin', 'stress', 'tapi', 'mencoba', 'untuk', 'berhusnudzon', 'dan', 'berusaha', 'untuk', 'tidak', 'meninggalkan', 'ibadah', 'sholat', 'fyi', 'bapaku', 'langsung', 'percaya', 'waktu', 'itu', 'karena', 'menurut', 'pengakuan', 'bapak', 'sejak', 'kecil', 'aku', 'selalu', 'bercerita', 'melihat', 'hal', 'yang', 'gak', 'bapak', 'mamah', 'aku', 'lihat', 'mungkin', 'bagi', 'yang', 'belum', 'mengalami', 'hal', 'gaib', 'cerita', 'seperti', 'yang', 'cerita', 'ini', 'dan', 'cerita', 'aku', 'merupakan', 'khayalan', 'tapi', 'kita', 'hidup', 'berdampingan', 'dengan', 'makhluk', 'yang', 'bahkan', 'tidak', 'bisa', 'dilihat', 'secara', 'kasat', 'mata', 'yang', 'penting', 'tetap', 'percaya', 'dengan', 'pertolongan', 'allah', 'swt', 'apapun', 'yang', 'terjadi', 'semoga', 'aku', 'dan', 'kita', 'semua', 'terhindar', 'dari', 'musibah', 'seperti', 'ini', 'lagi']","['sedikit', 'mirip', 'dengan', 'kisahku', 'sejak', 'smp', 'sampai', 'awal', 'perkuliahan', 'aku', 'selalu', 'dimimpiin', 'ketemu', 'laki-laki', 'tampan', 'dengan', 'penampilan', 'yang', 'agamis', 'seperti', 'santri', 'di', 'mimpi', 'itu', 'aku', 'selalu', 'dipandangi', 'sama', 'si', 'laki-laki', 'tersebut', 'dan', 'mimpi', 'itu', 'selalu', 'ada', 'ketika', 'aku', 'datang', 'bulan', 'mulanya', 'aku', 'tidak', 'berani', 'cerita', 'cuma', 'pas', 'aku', 'berani', 'pacaran', 'di', 'dunia', 'nyata', 'mimpi', 'yang', 'semula', 'laki-laki', 'itu', 'hanya', 'memandangi', 'aku', 'waktu', 'itu', 'berubah', 'menjadi', 'dia', 'marah', 'dan', 'berkata', 'kamu', 'milikku', 'tidak', 'ada', 'yang', 'bisa', 'memiliki', 'kamu', 'selain', 'aku', 'dewasa', 'nanti', 'kamu', 'harus', 'menikah', 'denganku', 'penampilan', 'laki-laki', 'itu', 'tidak', 'berubah', 'dan', 'tidak', 'menua', 'namun', 'ketika', 'mimpi', 'terkahir', 'aku', 'berani', 'cerita', 'sama', 'bapak', 'karena', 'sudah', 'merasa', 'takut', 'alhamdulillah', 'bapak', 'aku', 'percaya', 'sama', 'aku', 'dan', 'langsung', 'dibawa', 'ke', 'ustad', 'untuk', 'di', 'ruqyah', 'dan', 'aku', 'disuruh', 'jangan', 'meninggalkan', 'sholat', 'mamah', 'bapak', 'aku', 'juga', 'selalu', 'doain', 'aku', 'alhamdulillah', 'sejak', 'saat', 'itu', 'tidak', 'pernah', 'dimimpiin', 'lagi', 'tapi', 'sampai', 'sekarang', 'kalo', 'bertemu', 'beberapa', 'orang', 'terutama', 'laki-laki', 'yang', 'mau', 'dekati', 'aku', 'dia', 'selalu', 'melihat', 'sosok', 'laki-laki', 'yang', 'marah', 'di', 'belakang', 'aku', 'mengikuti', 'aku', 'kemanapun', 'aku', 'pergi', 'meksipun', 'sudah', 'tidak', 'pernah', 'dimimpiin', 'lagi', 'tapi', 'efeknya', 'sekarang', 'aku', 'malah', 'sedikit', 'sensitif', 'dengan', 'hal', 'seperti', 'itu', 'awalnya', 'sempat', 'bikin', 'stress', 'tapi', 'mencoba', 'untuk', 'berhusnudzon', 'dan', 'berusaha', 'untuk', 'tidak', 'meninggalkan', 'ibadah', 'sholat', 'fyi', 'bapaku', 'langsung', 'percaya', 'waktu', 'itu', 'karena', 'menurut', 'pengakuan', 'bapak', 'sejak', 'kecil', 'aku', 'selalu', 'bercerita', 'melihat', 'hal', 'yang', 'tidak', 'bapak', 'mamah', 'aku', 'lihat', 'mungkin', 'bagi', 'yang', 'belum', 'mengalami', 'hal', 'gaib', 'cerita', 'seperti', 'yang', 'cerita', 'ini', 'dan', 'cerita', 'aku', 'merupakan', 'khayalan', 'tapi', 'kita', 'hidup', 'berdampingan', 'dengan', 'makhluk', 'yang', 'bahkan', 'tidak', 'bisa', 'dilihat', 'secara', 'kasat', 'mata', 'yang', 'penting', 'tetap', 'percaya', 'dengan', 'pertolongan', 'allah', 'swt', 'apapun', 'yang', 'terjadi', 'semoga', 'aku', 'dan', 'kita', 'semua', 'terhindar', 'dari', 'musibah', 'seperti', 'ini', 'lagi']","['kisahku', 'smp', 'perkuliahan', 'dimimpiin', 'ketemu', 'laki-laki', 'tampan', 'penampilan', 'agamis', 'santri', 'mimpi', 'dipandangi', 'laki-laki', 'mimpi', 'berani', 'cerita', 'pas', 'berani', 'pacaran', 'dunia', 'nyata', 'mimpi', 'laki-laki', 'memandangi', 'berubah', 'marah', 'milikku', 'memiliki', 'dewasa', 'menikah', 'denganku', 'penampilan', 'laki-laki', 'berubah', 'menua', 'mimpi', 'terkahir', 'berani', 'cerita', 'takut', 'alhamdulillah', 'percaya', 'langsung', 'dibawa', 'ustad', 'ruqyah', 'disuruh', 'meninggalkan', 'sholat', 'mamah', 'doain', 'alhamdulillah', 'dimimpiin', 'kalo', 'bertemu', 'orang', 'laki-laki', 'dekati', 'sosok', 'laki-laki', 'marah', 'mengikuti', 'kemanapun', 'pergi', 'meksipun', 'dimimpiin', 'efeknya', 'sensitif', 'bikin', 'stress', 'mencoba', 'berhusnudzon', 'berusaha', 'meninggalkan', 'ibadah', 'sholat', 'fyi', 'bapaku', 'langsung', 'percaya', 'pengakuan', 'bercerita', 'mamah', 'lihat', 'mengalami', 'gaib', 'cerita', 'cerita', 'cerita', 'khayalan', 'hidup', 'berdampingan', 'makhluk', 'kasat', 'mata', 'percaya', 'pertolongan', 'allah', 'swt', 'apapun', 'semoga', 'terhindar', 'musibah']","['kisah', 'smp', 'kuliah', 'dimimpiin', 'ketemu', 'laki', 'tampan', 'tampil', 'agam', 'santri', 'mimpi', 'pandang', 'laki', 'mimpi', 'berani', 'cerita', 'pas', 'berani', 'pacar', 'dunia', 'nyata', 'mimpi', 'laki', 'pandang', 'ubah', 'marah', 'milik', 'milik', 'dewasa', 'meni', 'dengan', 'tampil', 'laki', 'ubah', 'tua', 'mimpi', 'terkahir', 'berani', 'cerita', 'takut', 'alhamdulillah', 'percaya', 'langsung', 'bawa', 'ustad', 'ruqyah', 'suruh', 'tinggal', 'sholat', 'mamah', 'doain', 'alhamdulillah', 'dimimpiin', 'kalo', 'temu', 'orang', 'laki', 'dekat', 'sosok', 'laki', 'marah', 'ikut', 'mana', 'pergi', 'meksipun', 'dimimpiin', 'efek', 'sensitif', 'bikin', 'stress', 'coba', 'berhusnudzon', 'usaha', 'tinggal', 'ibadah', 'sholat', 'fyi', 'bapa', 'langsung', 'percaya', 'aku', 'cerita', 'mamah', 'lihat', 'alami', 'gaib', 'cerita', 'cerita', 'cerita', 'khayal', 'hidup', 'damping', 'makhluk', 'kasat', 'mata', 'percaya', 'tolong', 'allah', 'swt', 'apa', 'moga', 'hindar', 'musibah']",kisah smp kuliah dimimpiin ketemu laki tampan tampil agam santri mimpi pandang laki mimpi berani cerita pas berani pacar dunia nyata mimpi laki pandang ubah marah milik milik dewasa meni dengan tampil laki ubah tua mimpi terkahir berani cerita takut alhamdulillah percaya langsung bawa ustad ruqyah suruh tinggal sholat mamah doain alhamdulillah dimimpiin kalo temu orang laki dekat sosok laki marah ikut mana pergi meksipun dimimpiin efek sensitif bikin stress coba berhusnudzon usaha tinggal ibadah sholat fyi bapa langsung percaya aku cerita mamah lihat alami gaib cerita cerita cerita khayal hidup damping makhluk kasat mata percaya tolong allah swt apa moga hindar musibah,Negatif
@khofinkhofin7199,Rukiah aja saran kami untuk wawak yg dikisah tu...kasihan suaminya😢,rukiah aja saran kami untuk wawak yg dikisah tukasihan suaminya,"['rukiah', 'aja', 'saran', 'kami', 'untuk', 'wawak', 'yg', 'dikisah', 'tukasihan', 'suaminya']","['rukiah', 'aja', 'saran', 'kami', 'untuk', 'wawak', 'yg', 'dikisah', 'tukasihan', 'suaminya']","['rukiah', 'aja', 'saran', 'kami', 'untuk', 'wawak', 'yg', 'dikisah', 'tukasihan', 'suaminya']","['saja', 'saran', 'kami', 'untuk', 'wawak', 'yang', 'dikisah', 'tukasihan', 'suaminya']","['saran', 'wawak', 'dikisah', 'tukasihan', 'suaminya']","['saran', 'wawak', 'kisah', 'tukasihan', 'suami']",saran wawak kisah tukasihan suami,Netral
