Cleaned_Text,label_prediksi
naudzubillahimindzalik ajar tebal iman mudah kena tipu daya jin setan moga hindar kak tiara alami moga teguh iman taat allah,negative
suka banget nonton vidio ini kakak emang berulangkali nonton emang suka bnget,positive
ending cerita ngegantung,positive
percayaatapi kali cerita banget novel app belah hehehe beda novel gd tiri ny,neutral
ingin maki si tiara sumpah,neutral
hidup dunia bumi dunia bener kaget bingung percaya posisi kak tiara bener mimpi bingung ngatasi gimana sehat deh kak tiara,neutral
pingin tau coba tes darah tes dna anak kembar nurun dna waaakk,positive
nonton ep yng turut janji keluarga tiara bangsa jin neneky tau karna awal tiara mimpi nenek marah,neutral
tiara gatel lu tau om ganteng,negative
nauzubillahiminzalik moga istri gw kak tiara goda lelaki dunia mimpi fatal hubung badan manusia dunia bayang suami gimana reaksi tau mimpi tiara,neutral
keren cerita kak kasi kak tiara,positive
cerita kakak nadia donk gmn,positive
tiara freak banget niat pen rukiah gatal kau tiara,negative
banyaknyasaya alami alami alam mimpi percya mts puncak mimpi ajak nikah ritual leher gigit persis gigit ular pas bangun tidur gigit persis gigitsn ular ruqyah nyata alami banyak amalian dzikir cerita keluarga nggk percya yaudah jadi alam cerita tuang alami novel,neutral
seru bangetttttt langsung tarik film,positive
kesini gara tiktok g,neutral
sbenar laki laki penasaran denger kesal knapa tiara ruqiyah maaf telat banget nonton,positive
turut fantasi tulis kak,neutral
emang anjing tiara,negative
full merindinggg tapi sukaa ngebayangin si pria ganteng suka pgn ngalamin guys,neutral
takutin,neutral
alami gabisa beda mimpi nyata mimpi pakai kebaya ulang acara nikah cengkraman tangan nafas telinga peristiwa gila bingung putus meni kali mimpi gerak badan ku buka pintu tarik gorden kamar masuk kamar orang marah tekan dada sulit nafas malam bunuh ku bawa gerak jari kaki hati baca doa bangun reflex pegang badan penuh bulu tekan dada ku nafas coba gerak jari kaki baca ayat suci alquran hasil bangun langsung lari kamar takut meni gugur x anak pulang rumah lahir anak menang kejer tidur bekas kamar gadis anak menagis pojok jendela kamar rasa takut menang bingung gatau dada sesak ken teriak,neutral
denger cerita hilang bangun langsung hamil gmn cerita,negative
baca novel cerita cerita tiara cuman novel laki siluman ular mahkota biru,neutral
suami tiara lihat cerita tau cerita cerita istri tanda jari pundak tiara kekmana asa suami tiara,negative
sumpah seru,positive
ken lihat foto tanda penisirin,positive
dlu ngalamin umur th mandi magrib diliatin sosok anak laki umur truss abis mimpi ajak pergi gamau ajak main mimpi ulang bawa kyai ktnya suka truss smpe umur mimpi alhamdulilah karna ngga kampung ngrantau pulang takut,neutral
gue cerita tiara ceritain kakak nadia suami tau anak kembar laki mimpi wkwk,positive
ceriya nyata karang,negative
kali pikir gamasuk akal ko adaptasi dunia beda ntah emang untung gbisa berkatakata drama sulit tebak,neutral
suami tiara nonton gmna asa kalo tau anak kandung anak suami tiara nonton sadar cerita istri nama samar cerita ubah,neutral
aneh banget bilang cerita seru creapy woiii lepas ngarang beneran jadi si tiara buka keluarga cerita kakek anggap serius pilih diem bas bego akal main banget coba cerita nenek tanggap kekek kalo berhungan goib seru bahaya sampe anak jin butuh tolong si tiara sehat,positive
nonton malam jumat kliwonpengen tiara dunia nyata hnya main,neutral
mimpi mimpi salah mimpi kelas sd pas selesai haid kali raja gunung emang pulau jawa,neutral
good bnget kakk,negative
cerita cerita sepupu kak nama sepupu dian malam ganggu laki ad mimpi,neutral
suka jin untung meni slah ciri orang suka jin jarang pacar suka sendiri tau koreksi kalo salah,neutral
cerita suka seru banget sedih denger ny,positive
cerita turut seru cerita lucanne lynn serasa bawa dunia fantasi rem seru,positive
suami sadar anak laki kn laki mimpi suami,neutral
gw nonton gilakkk seru bgtt moga lindung aamiin aamiinnn,positive
seruuuu,neutral
merinding suka banget dengerin cerita,positive
kaa nadiaa tolong nyaa penasaran banget gimana lanjut anak mama ngga mimpi si pangeran,positive
makhluk cantik beracuniblis tipu dayanyasering mimpi sesat labirin hasil keluarmimpi tengah labirin jalan rumit jalan keluar sembunyi,neutral
keren cerita bayang kalo tiara cerita nenek nenek mimpi tiara cerita nenek nenek anggap mimpi mimpi,positive
bermaskud apa kasi suami kak tiarauntungnya beliau taabah sabar,negative
real aneh kecewa tiara usaha lepas mending jujur usaha lepas jalin hubung sosok haram,negative
kecewa gua si tiaraa,negative
cerita baik nonton video kak nadia,positive
 slah cerita prnah baca fizzo novel ,neutral
cerita banget novel ku baca,neutral
tiara dosa banget karna biar aneh banget mimpi mulu dewasa loh tindak lakuin tiara tiara nalar nul banget feeling anak mati karna mimpi aneh banget manusia nalar insting denger cerita miris banget kasi calon calon bayi kena sepah karna biar tiara kalo kata tiara lo dongo banget manusia,positive
sumpah apa kak nad beneran kisah benerbener mikir kisah beneran nyata halusinasi gila gila gila beneran bagus banget mikir tiara anakanak kembar tiara lakilaki mimpi tiara tiara komunikasi mimpi sosok lakilaki mimpi tolong lanjutin kisah nyesel nonton,negative
cuman gw doang emosi ama tiaragoblok banget gamau cerita mimpi salah coba cerita doang pdhal kn dalang balik smua gugur anjjgabisa gw sabar gw batas tisu,positive
nonton tiara sdh ikat si lakilaki gmna asa laki tau anak kembar lakilaki mimpi hancur sang istri milik jin lakilaki mimpi jujur suami biar solusi rukiyah,negative
gila dengar cerita orng obsesi,negative
jin kakak,negative
cerita indah banget seram,positive
suami nonton nadia omara gmn nama samar kisah tebak ngalamin,neutral
selingkuh tetepla selingkuh selingkuh jin lucu,negative
kasihan suami mu tiara milik mu utuh,negative
seram romantis sedih,positive
suka baju kak naddr sekian epiini pling ku suka,neutral
cerita hororini cerita selingkuh,positive
tiara jijik,neutral
rewatch kgen,positive
plotholenya cerita inifiksi,positive
kasihan ama suaminyaa,negative
pas sampe hubung badan jujur kecewa banget si tiara lgsg keinget suaminyaa kasiaaan banget suami langsung diselingkuhin istri usaha anak hubung halaleh hubung si istri jin dahlahhh,negative
mimpi hubung badan orang mimpi kali mimpi kali gimana biar mimpi,neutral
baju bagus,positive
seru banget denger cerita nge gym,positive
rewatch s penasaran banget gmn suami tiara dunia asli anak suami gaib,positive
dengar sumpah bawa dunia fantasi bagus banget cerita,positive
efic banget crtanyaaa bjirr kalo bikin film seruuuu,positive
jin takut,negative
baca cerita cerita difizzo noveljudulnya hamil anak pangeran novel angkat cerita nyata,neutral
kak kabar tiara,neutral
penasaran tiara ikat si pangeran nenek moyang janji larang batas jatuh cinta orang dunia ajar ambil cerita ganjal hidup biar solusi derita,positive
gw ngebayangin sunghoon ma wonyounggg pls,negative
cinta kali cerita kak nadia asa dengerin kawan ghibah,positive
gilk cerita kak nadi cerita wawakkita enddebeds,positive
tolonginn adeku umur th mimpi umur th persis tiara weeyyyyy bohong,neutral
mantaaap cerita mimpi basah selingkuh air terjun mimpi nyata mak nyooos,neutral
penasaran anak ganteng,positive
favorit x cerita upload sampe rewatch ulang karna seru,positive
mantappp mas penasaran anak beuhh keren banget kalo cerita bioskop mantap,positive
gilaaa seruu banget cerita kali woy,negative
rem banget dahh langsung tiara nikah jin gasihh,negative
kak penasaran tiara anak dngan ayah dunia coba kak tanyain tiara ketemuin anak ayah goib nyadan coba bilang k tiara surh ruqiah hasil ruqiah,neutral
takut penasaran,positive
mendengarkanberasa nonton film ttg kerajaansemoga tiara bahagia keluargamb nadia hebat banget bawa ceritanyajadi masuk,positive
penasaran ama anak kembar tiara cowo ganteng anak kembar ganteng,positive
penasarann banget siapaaa nama asli tiaraa pngen nyari akun ig nyaa mo lihat anak nyaa,positive
kasihan suami,negative
sasimo tiara,neutral
bener bener panasaram muka anak,positive
cerita novel fizzo,neutral
absen nov,neutral
