Author,Comment,Comment_casefolded
@OpongOpong93,penasaran banget sama muka yang ada di mimpi nya tiara pengen jadi tiara tapi dipikir pikir takut sih,penasaran banget sama muka yang ada di mimpi nya tiara pengen jadi tiara tapi dipikir pikir takut sih
@verveerr,GA KEBAYANG KALO SUAMI NYA TIARA NONTON... 😢,ga kebayang kalo suami nya tiara nonton... 😢
@marnimanta2070,"Baru kali ini cerita kak nadia yang bener bener membuat merinding, sepanjang menyimak cerita, ya istighfar, merinding sebadan badan dan bisa ngebayangin suasana dalam cerita itu...masyaAllah baru kali ini saya sampai kepikiran si Tiara dan kisah mimpi dalam hidupnya...😢","baru kali ini cerita kak nadia yang bener bener membuat merinding, sepanjang menyimak cerita, ya istighfar, merinding sebadan badan dan bisa ngebayangin suasana dalam cerita itu...masyaallah baru kali ini saya sampai kepikiran si tiara dan kisah mimpi dalam hidupnya...😢"
@dessydandi8298,"2025 hadirr😂
Kalo aku pribadi percaya ya ada kekasih gain.krn ada temen yg pernah mengalami.jadi dia sering mimpiin laki2 lain.diajak pergi,jalan2,dan berhubungan.dan memang katanya kalao mimpi seperti itu berarti kita diincar jin dan dijaiin istri gaibnya kan,sampe akhirnya temenku itu minta bantuan orang pintar buat memutus hubungan sm si jin ini biar gak diganggu trs.","2025 hadirr😂
kalo aku pribadi percaya ya ada kekasih gain.krn ada temen yg pernah mengalami.jadi dia sering mimpiin laki2 lain.diajak pergi,jalan2,dan berhubungan.dan memang katanya kalao mimpi seperti itu berarti kita diincar jin dan dijaiin istri gaibnya kan,sampe akhirnya temenku itu minta bantuan orang pintar buat memutus hubungan sm si jin ini biar gak diganggu trs."
@b00y00,"Kesel denger respon suaminya.
Btw anaknya ada kelainan ato apa ga?","kesel denger respon suaminya.
btw anaknya ada kelainan ato apa ga?"
@agneslawie2531,"Kisah ni sya pernah dengar di podcast. Klau tak silap dkat santaichill, segment caller tpi lupa nma caller tu siapa😅","kisah ni sya pernah dengar di podcast. klau tak silap dkat santaichill, segment caller tpi lupa nma caller tu siapa😅"
@Zyu-チャン,Tapi nad kalo kek gini hukumnya gimana yah,tapi nad kalo kek gini hukumnya gimana yah
@AdindaMasry,"TERUS KELANJUTAN ANAKNYA DARI SUAMI GHAIBNYA KEK MANA TUH KAK, SUDAH BESARKAN ANAK HASIL PERNIKAHAN GHAIB ITU KAK TOLONG SAMBUNG CERITANYA KAK, PENASARAN NIH","terus kelanjutan anaknya dari suami ghaibnya kek mana tuh kak, sudah besarkan anak hasil pernikahan ghaib itu kak tolong sambung ceritanya kak, penasaran nih"
@bilaaams,energinya kerasa bangetttt😭😭😭,energinya kerasa bangetttt😭😭😭
@nabilakondakhgmail,"Kok air mataku keluar trus sepanjang nonton ya
Sakit bgtt woi😭","kok air mataku keluar trus sepanjang nonton ya
sakit bgtt woi😭"
@ErniadhaAdha-f3o,Suka nonton ini sambil makan atau rebahan aja😅😅,suka nonton ini sambil makan atau rebahan aja😅😅
@Adel_vell,"kasian sih ma tiaranya tapi kasian juga sama suaminya,jadi sampai sekarang itu anak jin???parah bgtt sih,tiara lu pls bgt harus rukiyah itu juga dosa loh sama suami karna berbohong","kasian sih ma tiaranya tapi kasian juga sama suaminya,jadi sampai sekarang itu anak jin???parah bgtt sih,tiara lu pls bgt harus rukiyah itu juga dosa loh sama suami karna berbohong"
@SriLestari-pu9kt,"Baru nonton aku huhuhu, keren banget kayak novel roman fantasi ihhh 😊😊","baru nonton aku huhuhu, keren banget kayak novel roman fantasi ihhh 😊😊"
@LelaYunitaOfficial,"Aku selalu ngebayangin bertemu pangeran,tp cerita ini sangat epic,dan setiap nadia bercerita aku membayangkan yg terjadi sm tiara,menyenangkan tp serem juga takutnya itu bukan pangeran asli tp hanya jelmaan jin atau om wowo😂","aku selalu ngebayangin bertemu pangeran,tp cerita ini sangat epic,dan setiap nadia bercerita aku membayangkan yg terjadi sm tiara,menyenangkan tp serem juga takutnya itu bukan pangeran asli tp hanya jelmaan jin atau om wowo😂"
@fhienabrowning3476,Kok bisa bisa ny ak nangis🥲 kek sedih kali cerita nya. Ketika seseorang mencintai org lain dr dunia lain😢,kok bisa bisa ny ak nangis🥲 kek sedih kali cerita nya. ketika seseorang mencintai org lain dr dunia lain😢
@Vionachannel199,Cba Sosok jin itu mau sama aku.  Hmmm romantis bngtt,cba sosok jin itu mau sama aku.  hmmm romantis bngtt
@evangelynpevy4384,In love sgt dgn cara kak bercerita ❤❤.. baru jmpa channel ni,in love sgt dgn cara kak bercerita ❤❤.. baru jmpa channel ni
@dewiododo9366,Mantapp lanjut cerita serunya kk,mantapp lanjut cerita serunya kk
@anggidefrianti3595,mana nih yg masih nonton di bln mei 2025 cung,mana nih yg masih nonton di bln mei 2025 cung
@JoFood-j1g,Aku pernah mimpi cowok ganteng banget itupun jg berulang dan tau gak? Aku ketemu di dunia nyata 😂 mana sebelum aku cerita aku pernah mimpi orang kyk dia. Dia tiba tiba bilang lebih dulu kalau dia mau menikahi orang yg ada di mimpinya dan orang itu mukanya sama kyk aku 😭,aku pernah mimpi cowok ganteng banget itupun jg berulang dan tau gak? aku ketemu di dunia nyata 😂 mana sebelum aku cerita aku pernah mimpi orang kyk dia. dia tiba tiba bilang lebih dulu kalau dia mau menikahi orang yg ada di mimpinya dan orang itu mukanya sama kyk aku 😭
@wiwikyulianti1266,Pengen liatt ihh anak kembarnyaa penasaran bgtt pasti cakep cakepp,pengen liatt ihh anak kembarnyaa penasaran bgtt pasti cakep cakepp
@graceglorycb2250,Penasaran pgn liat anaknya😢,penasaran pgn liat anaknya😢
@jennilywidhia3922,"Kemana aja gw baru sering nonton nadia omara sekarang. Haii aku dr masa depan, 2025","kemana aja gw baru sering nonton nadia omara sekarang. haii aku dr masa depan, 2025"
@RindiNdi-m4x,teruss tiara skrng keadaannnya gimana? keadaan suaminya kek mana?,teruss tiara skrng keadaannnya gimana? keadaan suaminya kek mana?
@RahmaAzzalia,cinta kehalang dunia lain😢,cinta kehalang dunia lain😢
@krt.ambar_srswati,Aku heran sama kalian kok bisa2 nya baper 😢 aku kecewa please. Kasian suaminya. Tiara lu tuh nikah sama genderuwo sosok itu aslinya ga se ganteng itu. Tmn ku ada yg pernah senasib sama km sampe akhirnya diruqyah,aku heran sama kalian kok bisa2 nya baper 😢 aku kecewa please. kasian suaminya. tiara lu tuh nikah sama genderuwo sosok itu aslinya ga se ganteng itu. tmn ku ada yg pernah senasib sama km sampe akhirnya diruqyah
@dianoffice6943,"udah dengerin ini bbrp kali, tp ga bosen2 haha
ceritanya emang seru sangattt
kerja sm dengerin nadia cerita itu canduu","udah dengerin ini bbrp kali, tp ga bosen2 haha
ceritanya emang seru sangattt
kerja sm dengerin nadia cerita itu canduu"
@IndriyaniPuabengga-g2e,Kayak aku yg ngalamin,kayak aku yg ngalamin
@delscooking,Salah satu KHW yg bagus banget menurut aku dan berkesan,salah satu khw yg bagus banget menurut aku dan berkesan
@GhaisaniPadmasari,woi tiara terima coy ganteng kok😅,woi tiara terima coy ganteng kok😅
@GhaisaniPadmasari,seru bgt ceritanya,seru bgt ceritanya
@sefiani16official26,"BTW ni ya wak, suaminya kan tau wajah pria yg dimimpi itu, setelah anaknya lahir apa suaminya ga curiga ya liat wajah anaknya mirip dengan pria di mimpi itu 🤔","btw ni ya wak, suaminya kan tau wajah pria yg dimimpi itu, setelah anaknya lahir apa suaminya ga curiga ya liat wajah anaknya mirip dengan pria di mimpi itu 🤔"
@cleanxy_3090,banyakin cerita yang kaya gini please,banyakin cerita yang kaya gini please
@ksh1727,"kali ke-2 aku nonton ini, gak pernah bosen....soalnya cerita mimpi bertahun"" mimpi hal yg sama dengan seting suasana mimpi yg sama juga aku rasain dri aku kecil smpe skrng","kali ke-2 aku nonton ini, gak pernah bosen....soalnya cerita mimpi bertahun"" mimpi hal yg sama dengan seting suasana mimpi yg sama juga aku rasain dri aku kecil smpe skrng"
@SitiHalimah-v4k,Udah dua kali nonton ini saking seru sambil ngebayanginya 1 kali satu tahun yg lalu dan kedua nonton sekarang angkat jadi filem kak ke nya seru  @NadiaOmaraa,udah dua kali nonton ini saking seru sambil ngebayanginya 1 kali satu tahun yg lalu dan kedua nonton sekarang angkat jadi filem kak ke nya seru  @nadiaomaraa
@Nurulpadilah9,"Ya Allah,ka tiara berhubungan dengan jin...","ya allah,ka tiara berhubungan dengan jin..."
@minasih-z4f,"Wkwkwk ini gmna ya , aku kaya masuk ke dunia fantasi , mana kata nya si cowo gateng udah gtu dia beradab ga mau maksa ga mau berbuat senonoh sbelum menjadi hak nya, please ini gmna aku baper😭😭😭
 Malah kaya merasa di cintai secara tulus😭😭😭","wkwkwk ini gmna ya , aku kaya masuk ke dunia fantasi , mana kata nya si cowo gateng udah gtu dia beradab ga mau maksa ga mau berbuat senonoh sbelum menjadi hak nya, please ini gmna aku baper😭😭😭
 malah kaya merasa di cintai secara tulus😭😭😭"
@ZahiraKamillia,"GOKILLLL, INI MAH ROMANCE","gokillll, ini mah romance"
@besingit,"Aku baru lihat episode ini. Mau tanya sm Nadya, apa kabar anak kembar mrk saat ini. Update dong. Aku percaya cerita ini, krn prnh lihat pamanku alm yg mengalaminya. Menikah dg jin cantik. Dlm Al Qur'an memang iblis itu ada krn ciptaan Allah Swt. Jin yg baik & yg buruk disebut setan. Ingat peristiwa Nabi Sulaiman alaihissalam yg memerintahkan jin utk membangun istana megah utk ratu Bilqis. 
Jk ada kasus spt Tiara, lbh baik terus aja berdo'a, tawaqal & pasrah kpd Allah Swt. Tiara ini pastinya jg sdh jatuh hati kpd pangeran ghaib. Hatinya tdk sepenuhnya mau melepaskan, mknya nyambung terus.Rukyah ngga bs melepaskan, jk hati msh nyangkut.","aku baru lihat episode ini. mau tanya sm nadya, apa kabar anak kembar mrk saat ini. update dong. aku percaya cerita ini, krn prnh lihat pamanku alm yg mengalaminya. menikah dg jin cantik. dlm al qur'an memang iblis itu ada krn ciptaan allah swt. jin yg baik & yg buruk disebut setan. ingat peristiwa nabi sulaiman alaihissalam yg memerintahkan jin utk membangun istana megah utk ratu bilqis. 
jk ada kasus spt tiara, lbh baik terus aja berdo'a, tawaqal & pasrah kpd allah swt. tiara ini pastinya jg sdh jatuh hati kpd pangeran ghaib. hatinya tdk sepenuhnya mau melepaskan, mknya nyambung terus.rukyah ngga bs melepaskan, jk hati msh nyangkut."
@lentera5096,"Hallo kak, ingin rasanya bercerita lsg dgn kak tiara yg dimaksudkan 🙏
Sekedar sharing utk brcerita.
Karna sy punya pengalaman yg  hampir sama dgn kak tiara 🙏

Tolong sampaikan slam sy untuk kak tiara 🙏🙏","hallo kak, ingin rasanya bercerita lsg dgn kak tiara yg dimaksudkan 🙏
sekedar sharing utk brcerita.
karna sy punya pengalaman yg  hampir sama dgn kak tiara 🙏

tolong sampaikan slam sy untuk kak tiara 🙏🙏"
@sugiarti5813,Asli siiiih seru kali ceritanya,asli siiiih seru kali ceritanya
@tawadhuoracle,"Anaknya jadi kaya Hercules, half human half gods, tapi ini half human half jinn 😬","anaknya jadi kaya hercules, half human half gods, tapi ini half human half jinn 😬"
@vinaamelia5949,"Aku udh ngulang nonton ini 3x wkwk ceritanya ga begitu serem tapi malah seru. Bikin aku mikir ""loh kok bisa ya""","aku udh ngulang nonton ini 3x wkwk ceritanya ga begitu serem tapi malah seru. bikin aku mikir ""loh kok bisa ya"""
@littlebee3428,"Jadi kaya dikota saranjana, kota gaib","jadi kaya dikota saranjana, kota gaib"
@Judulegalau,😢Dari sekian cerita ka nad. Asli ini yg paling epik bgt sih smpe ku putar 4x. Sama persis waktu aku gadis dulu mimpi basah dg seorang laki-laki,😢dari sekian cerita ka nad. asli ini yg paling epik bgt sih smpe ku putar 4x. sama persis waktu aku gadis dulu mimpi basah dg seorang laki-laki
@hnys1314,"Aku pernah beberapa kali mimpiin laki² yg sama tapi dalam cerita dan fisik yg berbeda. Tapi senyum, suara, wangi dan baju nya sama. Dia selalu pakai baju warna putih yg terang. Dia selalu dateng ke mimpi pas aku lagi sakit atau lagi capek sama dunia ini. Tapi setiap aku bangun aku selalu lupa wajah, wangi dan suara dia. Dan aku selalu bengong, bingung merasa kehilangan setiap bangun. Awal aku mimpiin dia itu agustus 2020. Sampai terakhir juli 2024, itu terhitung aku 5x mimpiin dia. Tapi rasanya pas aku udah lama kenal dia. Kayak dari kecil udah pernah ketemu dia, tapi aku lupa. Terakhir kali aku mimpiin dia yg juli tahun 2024, dan mimpi itu masih jelas banget. Tapi aku gak bisa denger dia ngomong apa, aku cuma denger dia bilang ""Ciee yang mau nikah"". Padahal aku gak ada nikah sampai 2025 ini. Dan setelah itu aku gak denger lagi dia ngomong apa. Aku cuma nangis dan sampai pas bangun pun aku masih nangis merasa kehilangan. Aku udah sempet tanya mamang aku, tapi jawaban dia kyk kurang tepat untuk mimpi ku.","aku pernah beberapa kali mimpiin laki² yg sama tapi dalam cerita dan fisik yg berbeda. tapi senyum, suara, wangi dan baju nya sama. dia selalu pakai baju warna putih yg terang. dia selalu dateng ke mimpi pas aku lagi sakit atau lagi capek sama dunia ini. tapi setiap aku bangun aku selalu lupa wajah, wangi dan suara dia. dan aku selalu bengong, bingung merasa kehilangan setiap bangun. awal aku mimpiin dia itu agustus 2020. sampai terakhir juli 2024, itu terhitung aku 5x mimpiin dia. tapi rasanya pas aku udah lama kenal dia. kayak dari kecil udah pernah ketemu dia, tapi aku lupa. terakhir kali aku mimpiin dia yg juli tahun 2024, dan mimpi itu masih jelas banget. tapi aku gak bisa denger dia ngomong apa, aku cuma denger dia bilang ""ciee yang mau nikah"". padahal aku gak ada nikah sampai 2025 ini. dan setelah itu aku gak denger lagi dia ngomong apa. aku cuma nangis dan sampai pas bangun pun aku masih nangis merasa kehilangan. aku udah sempet tanya mamang aku, tapi jawaban dia kyk kurang tepat untuk mimpi ku."
@Yerissavandine,"Ga pernah bosen rewatch KWH tiap minggu nyaa.. 😂😂😂
10/05/2025","ga pernah bosen rewatch kwh tiap minggu nyaa.. 😂😂😂
10/05/2025"
@Sakura_77-88,"Bingung asli antara nyata sama engga, kayak ini real gak sih emang ada ya manusia bisa hamil anak ji","bingung asli antara nyata sama engga, kayak ini real gak sih emang ada ya manusia bisa hamil anak ji"
@adinda7892,gilaaa cerita ini paling Keren,gilaaa cerita ini paling keren
@Ikamah97,Takutt bgt ihhh 😭😭😭 Tiara istifgfar ngapa Tiara,takutt bgt ihhh 😭😭😭 tiara istifgfar ngapa tiara
@Sarif_Srh,Plisss seru banget kalo di jadiin film,plisss seru banget kalo di jadiin film
@delladella8084,emang terlihat indah dan epik tapi di sisi lain jika kita memiliki kekasih gaib nikah nya susah,emang terlihat indah dan epik tapi di sisi lain jika kita memiliki kekasih gaib nikah nya susah
@RiyanArdiyansah-t9x,Pas ngesex si tiara nikmatin tuh... Kasian amat suaminya.. Dia sengaja ngga pengen lepas sma kksih ghoibnya y karna si tiara juga doyann..ga ush sok sokan pada ngebilang romntis. Bayangin kalian di posisi suaminya... Soal masalah di awal katanya dia di sepelein soal mimpinya.. Y karna emang cuma mimpi.. Cuma karna si tiara nih terlanjur engas sama tuh mhluk jadinya dia nikmatin.. Kasian amat suaminya...emosi denger khw kali ini,pas ngesex si tiara nikmatin tuh... kasian amat suaminya.. dia sengaja ngga pengen lepas sma kksih ghoibnya y karna si tiara juga doyann..ga ush sok sokan pada ngebilang romntis. bayangin kalian di posisi suaminya... soal masalah di awal katanya dia di sepelein soal mimpinya.. y karna emang cuma mimpi.. cuma karna si tiara nih terlanjur engas sama tuh mhluk jadinya dia nikmatin.. kasian amat suaminya...emosi denger khw kali ini
@KhanzTzy,Tiara anjg,tiara anjg
@flawless0417,"Mungkin karna dibutakan mata nya sehingga melihat jin ganteng tpi kalau udh di buka mata batinya pasti jelek krna jin sering menyerupai manusia, sosok manusia lah yg paling sempurna allah ciptakan, jangan lupa kak tiara baca rotibul hadad setiap selesai magrib, dan dzikir pagi peta ng karna itu ampuh buat membentengi diri dari hal buruk 🙏","mungkin karna dibutakan mata nya sehingga melihat jin ganteng tpi kalau udh di buka mata batinya pasti jelek krna jin sering menyerupai manusia, sosok manusia lah yg paling sempurna allah ciptakan, jangan lupa kak tiara baca rotibul hadad setiap selesai magrib, dan dzikir pagi peta ng karna itu ampuh buat membentengi diri dari hal buruk 🙏"
@putrilesstar,"nonton nadia omara baru kali ini rada gak percaya😭 soalnya aku pernah baca cerita kayak gini antara di wettpad/noveltoon atau dmn pokoknya aku lupa, ceritanya lumayan mirip kyk gini cuma ini versi lebih singkat,padat nya aja, klo di yg aku baca itu emg bnr"" di ceritain detail nya....but we never know ya guysss😅","nonton nadia omara baru kali ini rada gak percaya😭 soalnya aku pernah baca cerita kayak gini antara di wettpad/noveltoon atau dmn pokoknya aku lupa, ceritanya lumayan mirip kyk gini cuma ini versi lebih singkat,padat nya aja, klo di yg aku baca itu emg bnr"" di ceritain detail nya....but we never know ya guysss😅"
@AchmadSima,"Wah gila kisah ini mirip bgt sama yg di alami kaka perempuan ku, dlu juga ada sosok laki"" tampan dengan pakaian kerajaan selalu dtng di mimpinya,, karna ingin membawa kakak ku ke alam nya, d dlm mimpi itu kakak ku seperti antara sadar dan tidak sadar, tapi kakak aku selalu menolak karna kaka aku udah punya anak, sosok cowok itu selalu dtng di mimpinya dan menjulurkan tngn agar kakak ku ikut bersamanya, tapi untung nya kaka ku gak mau, klo sudah ikut dia aku gak tau lagi kakak aku bkal terbangun lagi atau ngak, soalnya sosok laki"" itu dtng di ikuti dengan cahaya terang seperti ingin membawa kedunia lain, dengan berpakain kerajaan","wah gila kisah ini mirip bgt sama yg di alami kaka perempuan ku, dlu juga ada sosok laki"" tampan dengan pakaian kerajaan selalu dtng di mimpinya,, karna ingin membawa kakak ku ke alam nya, d dlm mimpi itu kakak ku seperti antara sadar dan tidak sadar, tapi kakak aku selalu menolak karna kaka aku udah punya anak, sosok cowok itu selalu dtng di mimpinya dan menjulurkan tngn agar kakak ku ikut bersamanya, tapi untung nya kaka ku gak mau, klo sudah ikut dia aku gak tau lagi kakak aku bkal terbangun lagi atau ngak, soalnya sosok laki"" itu dtng di ikuti dengan cahaya terang seperti ingin membawa kedunia lain, dengan berpakain kerajaan"
@KencoKenci-h1u9f,Suami tiara😢,suami tiara😢
@Alfilloita13,tiaraaa wkwkw kamuu kesenangan tp bingung mau ngelepasinya iyagak sih wk,tiaraaa wkwkw kamuu kesenangan tp bingung mau ngelepasinya iyagak sih wk
@nanaaanjell,INI BENERAN GASIH ? SUMPAH EMG ADA CRITA KEK GNI KAH... WAH GILA GA EXPECT BGT SM CRITANYA,ini beneran gasih ? sumpah emg ada crita kek gni kah... wah gila ga expect bgt sm critanya
@user-tn3if2ry9o,"IHH PENASARAN SAMA MUKA ANAK ANAKNYA PLSSSS, KA TIARA TOLONG LIHATIN ANAK ANAK MU DONG 😭😭😭","ihh penasaran sama muka anak anaknya plssss, ka tiara tolong lihatin anak anak mu dong 😭😭😭"
@wahyunirohma1868,Harusnya urusan kek gini suami harus tau. Dan harus rukyah sih,harusnya urusan kek gini suami harus tau. dan harus rukyah sih
@Anatena-w5b2h,Bagus ceritanya apa lgi kalau di jadikan film tapi kasian jg nanti mbak Tiara kalau sampe suaminya tau sama mimpi terahir nya karna kan suaminya ga tau tu mbak Tiara mimpi berhubungan kaya gitu sama pageran itu jadi nanti kalau sampe viral trs di jadikan film gimana perasaan suaminya mbak Tiara termasuk mbak Tiara jg ya Bingung jg aku di satu sisi aku kagum bgt sama cerita kisahnya mbak Tiara tapi jg ikut bertanya2 kenapa sebegitu inginnya pangeran itu sama mbak Tiara bahkan sampe sekarang masih terikat tapi jujur aku suka bgt sama ceritanya 😊,bagus ceritanya apa lgi kalau di jadikan film tapi kasian jg nanti mbak tiara kalau sampe suaminya tau sama mimpi terahir nya karna kan suaminya ga tau tu mbak tiara mimpi berhubungan kaya gitu sama pageran itu jadi nanti kalau sampe viral trs di jadikan film gimana perasaan suaminya mbak tiara termasuk mbak tiara jg ya bingung jg aku di satu sisi aku kagum bgt sama cerita kisahnya mbak tiara tapi jg ikut bertanya2 kenapa sebegitu inginnya pangeran itu sama mbak tiara bahkan sampe sekarang masih terikat tapi jujur aku suka bgt sama ceritanya 😊
@AisahAhmad-h8g,Ceritaa yang ga pernah bosen untuk didengerin karena emng sebagus itu keren parahh😮😮,ceritaa yang ga pernah bosen untuk didengerin karena emng sebagus itu keren parahh😮😮
@YasViho,"selingkuh sama manusia ❎
selingkuh sama jin ✅

semoga suaminya Tiara dapat istri yang lebih baik lagi, aamiiin","selingkuh sama manusia ❎
selingkuh sama jin ✅

semoga suaminya tiara dapat istri yang lebih baik lagi, aamiiin"
@feradwiseptiani8867,"Gila seru bgt cerita kali ,bingung mau takut tapi salting","gila seru bgt cerita kali ,bingung mau takut tapi salting"
@silvianazilatulhusna7611,Omggg seruuuu KHW part iniiii,omggg seruuuu khw part iniiii
@tiararifaababilkis1427,"Kak, saya Tiara, tapi dari Indonesia😔","kak, saya tiara, tapi dari indonesia😔"
@sindiiiajaaa,ada kelanjutannya ga se???,ada kelanjutannya ga se???
@itachiUchiha-hw4no,tim yang ga percaya,tim yang ga percaya
@nurfitriyah1789,si tiara terlalu memendam. ga mau cerita secara jujur. ga minta pertolongan kyai/ruqyah.,si tiara terlalu memendam. ga mau cerita secara jujur. ga minta pertolongan kyai/ruqyah.
@alinxantut1717,"Kok bisa ya wak se sinkron itu dari dunia mimpi ke dunia nyata, agak merasa kasian jg sih sm suaminya tiara.","kok bisa ya wak se sinkron itu dari dunia mimpi ke dunia nyata, agak merasa kasian jg sih sm suaminya tiara."
@nnatt_ajaa,Smphh ak tdi nntn khw kk yg warung bu leli durasi ny lamaa bgtt smg di notice yaa sm kk nadia dn ak slm inii blm prnh di notice sm kk nadia😊,smphh ak tdi nntn khw kk yg warung bu leli durasi ny lamaa bgtt smg di notice yaa sm kk nadia dn ak slm inii blm prnh di notice sm kk nadia😊
@el-bicho-q4u,Kenawhy😂,kenawhy😂
@wryyy4555,Ini serem sih...jujur paling gasuka sama hantu atau jin yg kayak gini....kayak trlalu memaksakan diri mereka ke manusia gitu...maunya manusia juga harus suka sama mereka jirr iyuh,ini serem sih...jujur paling gasuka sama hantu atau jin yg kayak gini....kayak trlalu memaksakan diri mereka ke manusia gitu...maunya manusia juga harus suka sama mereka jirr iyuh
@NuelWogha,Kak semangat terus 😊,kak semangat terus 😊
@VertaArta,"Dear kak Nadia, aku kembali lagi kesini setelah 2 tahun yang lalu aku nonton hehe..","dear kak nadia, aku kembali lagi kesini setelah 2 tahun yang lalu aku nonton hehe.."
@megastiawati214,Bikin manhwa keren banget sih ini,bikin manhwa keren banget sih ini
@megastiawati214,Kaya lg baca novel,kaya lg baca novel
@CiipaaNihh,Brati cwe itu pnya 2suami bedanya yg stunya ada didalam mimpi 😢,brati cwe itu pnya 2suami bedanya yg stunya ada didalam mimpi 😢
@DellaApriyani-g5x,mau tau ke lanjutnya,mau tau ke lanjutnya
@gajah.terbang.di.angkasa,Pebinor ghaib...,pebinor ghaib...
@IsnaMisbah-e6z,Seperti kehidupan aku😢😢😢,seperti kehidupan aku😢😢😢
@ree-fi4lr,kenapa mirip yang lucanne itu woii 😭,kenapa mirip yang lucanne itu woii 😭
@SeliNurlatipah0002,"Sedikit mirip dengan kisahku, sejak SMP sampai awal perkuliahan aku selalu dimimpiin ketemu laki-laki tampan dengan penampilan yang agamis seperti santri, di mimpi itu aku selalu dipandangi sama si laki-laki tersebut dan mimpi itu selalu ada ketika aku datang bulan. Mulanya aku gak berani cerita, cuma pas aku berani pacaran di dunia nyata mimpi yang semula laki-laki itu hanya memandangi aku waktu itu berubah menjadi dia marah dan berkata ""kamu milikku tidak ada yang bisa memiliki kamu selain aku, dewasa nanti kamu harus menikah denganku"" Penampilan laki-laki itu tidak berubah dan tidak menua. Namun ketika mimpi terkahir aku berani cerita sama bapak karena sudah merasa takut, alhamdulillah bapak aku percaya sama aku dan langsung dibawa ke ustad untuk di ruqyah dan aku disuruh jangan meninggalkan sholat, mamah bapak aku juga selalu do'ain aku Alhamdulillah sejak saat itu gak pernah dimimpiin lagi. Tapi sampai sekarang kalo bertemu beberapa orang (terutama laki-laki yang mau dekati aku) dia selalu melihat sosok laki-laki yang marah di belakang aku mengikuti aku kemanapun aku pergi meksipun udah gak pernah dimimpiin lagi. Tapi efeknya sekarang aku malah sedikit sensitif dengan hal seperti itu, awalnya sempat bikin stress tapi mencoba untuk berhusnudzon dan berusaha untuk tidak meninggalkan ibadah sholat. FYI, bapaku langsung percaya waktu itu karena menurut pengakuan bapak sejak kecil aku selalu bercerita melihat hal yang gak bapak mamah aku lihat. Mungkin bagi yang belum mengalami hal gaib cerita seperti yang cerita ini dan cerita aku merupakan khayalan, tapi kita hidup berdampingan dengan makhluk yang bahkan tidak bisa dilihat secara kasat mata, yang penting tetap percaya dengan pertolongan Allah SWT. Apapun yang terjadi. Semoga aku dan kita semua terhindar dari musibah seperti ini lagi😊","sedikit mirip dengan kisahku, sejak smp sampai awal perkuliahan aku selalu dimimpiin ketemu laki-laki tampan dengan penampilan yang agamis seperti santri, di mimpi itu aku selalu dipandangi sama si laki-laki tersebut dan mimpi itu selalu ada ketika aku datang bulan. mulanya aku gak berani cerita, cuma pas aku berani pacaran di dunia nyata mimpi yang semula laki-laki itu hanya memandangi aku waktu itu berubah menjadi dia marah dan berkata ""kamu milikku tidak ada yang bisa memiliki kamu selain aku, dewasa nanti kamu harus menikah denganku"" penampilan laki-laki itu tidak berubah dan tidak menua. namun ketika mimpi terkahir aku berani cerita sama bapak karena sudah merasa takut, alhamdulillah bapak aku percaya sama aku dan langsung dibawa ke ustad untuk di ruqyah dan aku disuruh jangan meninggalkan sholat, mamah bapak aku juga selalu do'ain aku alhamdulillah sejak saat itu gak pernah dimimpiin lagi. tapi sampai sekarang kalo bertemu beberapa orang (terutama laki-laki yang mau dekati aku) dia selalu melihat sosok laki-laki yang marah di belakang aku mengikuti aku kemanapun aku pergi meksipun udah gak pernah dimimpiin lagi. tapi efeknya sekarang aku malah sedikit sensitif dengan hal seperti itu, awalnya sempat bikin stress tapi mencoba untuk berhusnudzon dan berusaha untuk tidak meninggalkan ibadah sholat. fyi, bapaku langsung percaya waktu itu karena menurut pengakuan bapak sejak kecil aku selalu bercerita melihat hal yang gak bapak mamah aku lihat. mungkin bagi yang belum mengalami hal gaib cerita seperti yang cerita ini dan cerita aku merupakan khayalan, tapi kita hidup berdampingan dengan makhluk yang bahkan tidak bisa dilihat secara kasat mata, yang penting tetap percaya dengan pertolongan allah swt. apapun yang terjadi. semoga aku dan kita semua terhindar dari musibah seperti ini lagi😊"
@khofinkhofin7199,Rukiah aja saran kami untuk wawak yg dikisah tu...kasihan suaminya😢,rukiah aja saran kami untuk wawak yg dikisah tu...kasihan suaminya😢
@UlyAfnisarah,Aku dulu juga pernah mimpi  seperti yg di ceritain kak nadia tp cuma beberapa x. Trs hilang gt aja.,aku dulu juga pernah mimpi  seperti yg di ceritain kak nadia tp cuma beberapa x. trs hilang gt aja.
@KikiAdelia-q6b,"Demi apa pun aku jadi keinget sama hal yang pernah aku alami juga. Beda nya aku gak pernah liat muka dia sedikitpun. Dan, aku gak pernah tau dia orang atau bukan. tapi, dari penampilan nya normal kaya manusia biasa. Selalu memakai Hoodie bertudung","demi apa pun aku jadi keinget sama hal yang pernah aku alami juga. beda nya aku gak pernah liat muka dia sedikitpun. dan, aku gak pernah tau dia orang atau bukan. tapi, dari penampilan nya normal kaya manusia biasa. selalu memakai hoodie bertudung"
@WildaAmay,"Semoga Tiara bahagia
Berarti bertukar anak
Intinya aku suka cerita nya❤️❤️❤️❤️","semoga tiara bahagia
berarti bertukar anak
intinya aku suka cerita nya❤️❤️❤️❤️"
